HEX_ID,WK_MORNING,WK_AFTERNOON,WKND_HOL
H0001,0,0,0
H0002,0,0,0
H0003,0,0,0
H0004,0,0,0
H0005,0,0,0
H0006,0,0,0
H0007,0,0,0
H0008,0,0,0
H0009,0,0,0
H0010,0,0,0
H0011,0,0,0
H0012,0,0,0
H0013,0,0,0
H0014,0,0,0
H0015,0,0,0
H0016,0,0,0
H0017,0,0,0
H0018,0,0,0
H0019,0,0,0
H0020,0,0,0
H0021,308,849,0
H0022,0,0,0
H0023,0,0,0
H0024,0,0,0
H0025,0,0,0
H0026,0,0,0
H0027,0,0,0
H0028,0,0,0
H0029,26,45,0
H0030,0,0,0
H0031,0,0,0
H0032,0,0,0
H0033,0,0,0
H0034,0,0,0
H0035,0,0,0
H0036,0,0,0
H0037,0,0,0
H0038,0,0,0
H0039,0,0,0
H0040,74,223,0
H0041,103,264,0
H0042,0,0,0
H0043,0,0,0
H0044,0,0,0
H0045,0,0,0
H0046,0,0,0
H0047,0,0,0
H0048,193,736,0
H0049,1131,3024,0
H0050,2879,1610,0
H0051,761,170,0
H0052,0,0,0
H0053,0,0,0
H0054,0,0,0
H0055,0,0,0
H0056,0,0,0
H0057,0,0,0
H0058,0,0,0
H0059,241,2258,0
H0060,1227,3840,0
H0061,365,1176,0
H0062,4881,6246,0
H0063,191,964,0
H0064,0,0,0
H0065,0,0,0
H0066,0,0,0
H0067,0,0,0
H0068,0,0,0
H0069,2848,3400,0
H0070,150,1749,0
H0071,288,2984,0
H0072,2962,4484,0
H0073,168,1288,0
H0074,345,2341,0
H0075,0,0,0
H0076,0,0,0
H0077,0,0,0
H0078,0,0,0
H0079,0,0,0
H0080,0,0,0
H0081,0,0,0
H0082,576,1114,0
H0083,353,1179,0
H0084,0,0,0
H0085,1018,4400,0
H0086,3098,1714,0
H0087,33402,9584,0
H0088,0,0,0
H0089,0,0,0
H0090,0,0,0
H0091,0,0,0
H0092,0,0,0
H0093,0,0,0
H0094,0,0,0
H0095,0,0,0
H0096,0,0,0
H0097,0,0,0
H0098,250,3072,0
H0099,265,1167,0
H0100,925,1382,0
H0101,0,0,0
H0102,0,0,0
H0103,0,0,0
H0104,0,0,0
H0105,0,0,0
H0106,0,0,0
H0107,0,0,0
H0108,0,0,0
H0109,41,120,0
H0110,0,0,0
H0111,439,3283,0
H0112,19612,8285,0
H0113,22,26,0
H0114,0,0,0
H0115,0,0,0
H0116,0,0,0
H0117,0,0,0
H0118,0,0,0
H0119,0,0,0
H0120,0,0,0
H0121,0,0,0
H0122,0,0,0
H0123,0,0,0
H0124,0,0,0
H0125,21062,3629,0
H0126,1048,5379,0
H0127,0,0,0
H0128,0,0,0
H0129,0,0,0
H0130,0,0,0
H0131,0,0,0
H0132,0,0,0
H0133,0,0,0
H0134,0,0,0
H0135,15,884,0
H0136,16259,1666,0
H0137,2391,6672,0
H0138,29,160,0
H0139,0,0,0
H0140,0,0,0
H0141,0,0,0
H0142,0,0,0
H0143,0,0,0
H0144,0,0,0
H0145,0,0,0
H0146,0,0,0
H0147,0,0,0
H0148,82,2801,0
H0149,846,3474,0
H0150,84,353,0
H0151,0,0,0
H0152,0,0,0
H0153,0,0,0
H0154,0,0,0
H0155,0,0,0
H0156,0,0,0
H0157,0,0,0
H0158,0,0,0
H0159,631,4948,0
H0160,3858,3864,0
H0161,735,3181,0
H0162,0,0,0
H0163,0,0,0
H0164,0,0,0
H0165,0,0,0
H0166,0,0,0
H0167,0,0,0
H0168,0,0,0
H0169,0,0,0
H0170,0,0,0
H0171,58,851,0
H0172,243,3158,0
H0173,432,2987,0
H0174,0,0,0
H0175,0,0,0
H0176,0,0,0
H0177,0,0,0
H0178,0,0,0
H0179,0,0,0
H0180,0,0,0
H0181,0,0,0
H0182,0,0,0
H0183,0,0,0
H0184,0,0,0
H0185,385,4318,0
H0186,7543,1440,0
H0187,0,0,0
H0188,0,0,0
H0189,0,0,0
H0190,0,0,0
H0191,0,0,0
H0192,0,0,0
H0193,0,0,0
H0194,0,0,0
H0195,0,0,0
H0196,0,0,0
H0197,0,0,0
H0198,0,0,0
H0199,0,0,0
H0200,0,0,0
H0201,1110,3953,0
H0202,158,2362,0
H0203,514,5392,0
H0204,0,0,0
H0205,0,0,0
H0206,0,0,0
H0207,0,0,0
H0208,0,0,0
H0209,0,0,0
H0210,0,0,0
H0211,0,0,0
H0212,0,0,0
H0213,0,0,0
H0214,0,0,0
H0215,0,0,0
H0216,0,0,0
H0217,332,1488,0
H0218,93,407,0
H0219,822,3586,0
H0220,536,2357,0
H0221,0,0,0
H0222,0,0,0
H0223,0,0,0
H0224,0,0,0
H0225,0,0,0
H0226,0,0,0
H0227,0,0,0
H0228,0,0,0
H0229,0,0,0
H0230,0,0,0
H0231,0,0,0
H0232,0,0,0
H0233,0,0,0
H0234,803,9082,0
H0235,636,6519,0
H0236,0,0,0
H0237,0,0,0
H0238,0,0,0
H0239,0,0,0
H0240,0,0,0
H0241,0,0,0
H0242,0,0,0
H0243,0,0,0
H0244,0,0,0
H0245,0,0,0
H0246,0,0,0
H0247,0,0,0
H0248,0,0,0
H0249,0,0,0
H0250,0,0,0
H0251,450,1544,0
H0252,938,7031,0
H0253,150767,49092,0
H0254,178,10640,0
H0255,9,583,0
H0256,0,0,0
H0257,0,0,0
H0258,0,0,0
H0259,0,0,0
H0260,0,0,0
H0261,0,0,0
H0262,0,0,0
H0263,0,0,0
H0264,0,0,0
H0265,0,0,0
H0266,0,0,0
H0267,0,0,0
H0268,770,2582,0
H0269,190,2525,0
H0270,4448,6724,0
H0271,0,0,0
H0272,870,45934,0
H0273,0,0,0
H0274,0,0,0
H0275,0,0,0
H0276,0,0,0
H0277,0,0,0
H0278,0,0,0
H0279,0,0,0
H0280,0,0,0
H0281,0,0,0
H0282,0,0,0
H0283,0,0,0
H0284,0,0,0
H0285,211,1617,0
H0286,561,3262,0
H0287,1360,6403,0
H0288,558,21249,0
H0289,3006,11309,0
H0290,0,0,0
H0291,0,0,0
H0292,0,0,0
H0293,0,0,0
H0294,0,0,0
H0295,0,0,0
H0296,0,0,0
H0297,0,0,0
H0298,0,0,0
H0299,0,0,0
H0300,0,0,0
H0301,0,0,0
H0302,0,0,0
H0303,589,1494,0
H0304,1034,4502,0
H0305,0,0,0
H0306,3679,8859,0
H0307,1114,3481,0
H0308,20,526,0
H0309,0,0,0
H0310,0,0,0
H0311,0,0,0
H0312,0,0,0
H0313,0,0,0
H0314,0,0,0
H0315,0,0,0
H0316,0,0,0
H0317,0,0,0
H0318,0,0,0
H0319,0,0,0
H0320,210,414,0
H0321,601,3077,0
H0322,1399,6830,0
H0323,71561,30489,0
H0324,1496,5009,0
H0325,0,0,0
H0326,0,0,0
H0327,0,0,0
H0328,0,0,0
H0329,0,0,0
H0330,0,0,0
H0331,0,0,0
H0332,0,0,0
H0333,0,0,0
H0334,0,0,0
H0335,0,0,0
H0336,0,0,0
H0337,0,0,0
H0338,2803,7794,0
H0339,1159,8985,0
H0340,27267,21900,0
H0341,64896,17531,0
H0342,1232,12993,0
H0343,176,1639,0
H0344,0,0,0
H0345,0,0,0
H0346,0,0,0
H0347,0,0,0
H0348,0,0,0
H0349,0,0,0
H0350,0,0,0
H0351,0,0,0
H0352,0,0,0
H0353,224,3426,0
H0354,1259,11037,0
H0355,7964,14418,0
H0356,85103,54580,0
H0357,9541,5033,0
H0358,280,6260,0
H0359,1114,2744,0
H0360,0,0,0
H0361,0,0,0
H0362,0,0,0
H0363,0,0,0
H0364,0,0,0
H0365,0,0,0
H0366,0,0,0
H0367,0,0,0
H0368,0,0,0
H0369,0,0,0
H0370,821,4725,0
H0371,78,551,0
H0372,66112,44850,0
H0373,100664,32987,0
H0374,0,0,0
H0375,90,125,0
H0376,0,0,0
H0377,0,0,0
H0378,0,0,0
H0379,361,4056,0
H0380,0,0,0
H0381,0,0,0
H0382,0,0,0
H0383,0,0,0
H0384,0,0,0
H0385,0,0,0
H0386,307,1341,0
H0387,243,1298,0
H0388,1564,5342,0
H0389,325144,412869,0
H0390,61407,34561,0
H0391,0,0,0
H0392,0,0,0
H0393,0,0,0
H0394,0,0,0
H0395,0,0,0
H0396,91,269,0
H0397,0,0,0
H0398,0,0,0
H0399,0,0,0
H0400,0,0,0
H0401,0,0,0
H0402,0,0,0
H0403,0,0,0
H0404,0,0,0
H0405,0,0,0
H0406,249,844,0
H0407,1713,5833,0
H0408,10572,10416,0
H0409,43340,20990,0
H0410,0,0,0
H0411,39,71,0
H0412,0,0,0
H0413,0,0,0
H0414,0,0,0
H0415,0,0,0
H0416,32,212,0
H0417,50,105,0
H0418,0,0,0
H0419,0,0,0
H0420,0,0,0
H0421,0,0,0
H0422,0,0,0
H0423,0,0,0
H0424,364,3642,0
H0425,1452,17987,0
H0426,24123,17862,0
H0427,7751,9617,0
H0428,0,0,0
H0429,0,0,0
H0430,0,0,0
H0431,0,0,0
H0432,0,0,0
H0433,0,0,0
H0434,31,53,0
H0435,140,185,0
H0436,0,0,0
H0437,0,0,0
H0438,0,0,0
H0439,0,0,0
H0440,0,0,0
H0441,289,1374,0
H0442,232,2399,0
H0443,1435,15820,0
H0444,96553,46497,0
H0445,0,0,0
H0446,98,802,0
H0447,0,0,0
H0448,0,0,0
H0449,0,0,0
H0450,0,0,0
H0451,0,0,0
H0452,0,0,0
H0453,0,0,0
H0454,0,0,0
H0455,0,0,0
H0456,0,0,0
H0457,0,0,0
H0458,0,0,0
H0459,0,0,0
H0460,0,0,0
H0461,0,0,0
H0462,2171,11438,0
H0463,4223,6460,0
H0464,27835,18843,0
H0465,56768,36402,0
H0466,0,0,0
H0467,25016,10734,0
H0468,0,0,0
H0469,0,0,0
H0470,0,0,0
H0471,0,0,0
H0472,0,0,0
H0473,0,0,0
H0474,0,0,0
H0475,0,0,0
H0476,0,0,0
H0477,0,0,0
H0478,0,0,0
H0479,0,0,0
H0480,4483,18067,0
H0481,19175,21051,0
H0482,57428,24009,0
H0483,106310,160813,0
H0484,0,0,0
H0485,0,0,0
H0486,0,0,0
H0487,0,0,0
H0488,0,0,0
H0489,0,0,0
H0490,0,0,0
H0491,0,0,0
H0492,0,0,0
H0493,0,0,0
H0494,0,0,0
H0495,0,0,0
H0496,0,0,0
H0497,0,0,0
H0498,0,0,0
H0499,0,0,0
H0500,0,0,0
H0501,121,762,0
H0502,61655,36639,0
H0503,18680,7451,0
H0504,85542,43950,0
H0505,0,0,0
H0506,1004,6803,0
H0507,0,0,0
H0508,0,0,0
H0509,0,0,0
H0510,0,0,0
H0511,0,0,0
H0512,0,0,0
H0513,0,0,0
H0514,0,0,0
H0515,0,0,0
H0516,0,0,0
H0517,0,0,0
H0518,0,0,0
H0519,0,0,0
H0520,0,0,0
H0521,110,1743,0
H0522,8379,6168,0
H0523,13888,4550,0
H0524,32447,19539,0
H0525,0,0,0
H0526,0,0,0
H0527,0,0,0
H0528,0,0,0
H0529,0,0,0
H0530,0,0,0
H0531,0,0,0
H0532,0,0,0
H0533,0,0,0
H0534,0,0,0
H0535,0,0,0
H0536,0,0,0
H0537,0,0,0
H0538,0,0,0
H0539,0,0,0
H0540,0,0,0
